customer_id,customer_name,segment,product,month,actual_units,actual_unit_price,actual_revenue,actual_cogs,actual_gross_profit
C-001,Customer 1,Mid-Market,SKU-C,1,7,3428.76,24001.32,10653.77,13347.55
C-001,Customer 1,Mid-Market,SKU-C,2,10,3465.88,34658.8,15644.43,19014.37
C-001,Customer 1,Mid-Market,SKU-C,3,6,3428.85,20573.1,9468.6,11104.5
C-001,Customer 1,Mid-Market,SKU-C,4,9,3389.4,30504.6,13657.01,16847.59
C-001,Customer 1,Mid-Market,SKU-C,5,9,3385.12,30466.08,13531.1,16934.98
C-001,Customer 1,Mid-Market,SKU-C,6,7,3360.15,23521.05,10577.89,12943.16
C-001,Customer 1,Mid-Market,SKU-C,7,9,3451.68,31065.12,14723.99,16341.13
C-001,Customer 1,Mid-Market,SKU-C,8,7,3454.95,24184.65,11213.78,12970.87
C-001,Customer 1,Mid-Market,SKU-C,9,7,3467.3,24271.1,11657.69,12613.41
C-001,Customer 1,Mid-Market,SKU-C,10,9,3401.27,30611.43,14734.15,15877.28
C-001,Customer 1,Mid-Market,SKU-C,11,7,3385.1,23695.7,11519.22,12176.48
C-001,Customer 1,Mid-Market,SKU-C,12,8,3429.68,27437.44,13034.34,14403.1
C-002,Customer 2,Enterprise,SKU-F,1,94,568.79,53466.26,37484.66,15981.6
C-002,Customer 2,Enterprise,SKU-F,2,62,569.7,35321.4,24954.6,10366.8
C-002,Customer 2,Enterprise,SKU-F,3,88,552.92,48656.96,33729.96,14927.0
C-002,Customer 2,Enterprise,SKU-F,4,77,556.45,42846.65,30626.71,12219.94
C-002,Customer 2,Enterprise,SKU-F,5,82,572.5,46945.0,33292.74,13652.26
C-002,Customer 2,Enterprise,SKU-F,6,80,580.92,46473.6,31689.12,14784.48
C-002,Customer 2,Enterprise,SKU-F,7,62,552.08,34228.96,25530.78,8698.18
C-002,Customer 2,Enterprise,SKU-F,8,72,562.99,40535.28,30459.46,10075.82
