customer_id,customer_name,segment,product,month,budgeted_units,budgeted_unit_price,budgeted_revenue,budgeted_cogs,budgeted_gross_profit
C-001,Customer 1,Mid-Market,SKU-C,1,9,3500,31500,14175.0,17325.0
C-001,Customer 1,Mid-Market,SKU-C,2,9,3500,31500,14175.0,17325.0
C-001,Customer 1,Mid-Market,SKU-C,3,9,3500,31500,14175.0,17325.0
C-001,Customer 1,Mid-Market,SKU-C,4,9,3500,31500,14175.0,17325.0
C-001,Customer 1,Mid-Market,SKU-C,5,8,3500,28000,12600.0,15400.0
C-001,Customer 1,Mid-Market,SKU-C,6,8,3500,28000,12600.0,15400.0
C-001,Customer 1,Mid-Market,SKU-C,7,8,3500,28000,12600.0,15400.0
C-001,Customer 1,Mid-Market,SKU-C,8,8,3500,28000,12600.0,15400.0
C-001,Customer 1,Mid-Market,SKU-C,9,9,3500,31500,14175.0,17325.0
C-001,Customer 1,Mid-Market,SKU-C,10,8,3500,28000,12600.0,15400.0
C-001,Customer 1,Mid-Market,SKU-C,11,8,3500,28000,12600.0,15400.0
C-001,Customer 1,Mid-Market,SKU-C,12,8,3500,28000,12600.0,15400.0
C-002,Customer 2,Enterprise,SKU-F,1,78,600,46800,32760.0,14040.0
C-002,Customer 2,Enterprise,SKU-F,2,83,600,49800,34860.0,14940.0
C-002,Customer 2,Enterprise,SKU-F,3,80,600,48000,33600.0,14400.0
C-002,Customer 2,Enterprise,SKU-F,4,83,600,49800,34860.0,14940.0
C-002,Customer 2,Enterprise,SKU-F,5,81,600,48600,34020.0,14580.0
C-002,Customer 2,Enterprise,SKU-F,6,80,600,48000,33600.0,14400.0
C-002,Customer 2,Enterprise,SKU-F,7,72,600,43200,30240.0,12960.0
C-003,Customer 3,Enterprise,SKU-A,1,26,1200,31200,17160.0,14040.0
C-003,Customer 3,Enterprise,SKU-F,1,49,600,29400,20580.0,8820.0
C-003,Customer 3,Enterprise,SKU-A,2,25,1200,30000,16500.0,13500.0
C-003,Customer 3,Enterprise,SKU-F,2,49,600,29400,20580.0,8820.0
C-003,Customer 3,Enterprise,SKU-A,3,26,1200,31200,17160.0,14040.0
C-003,Customer 3,Enterprise,SKU-F,3,51,600,30600,21420.0,9180.0
C-003,Customer 3,Enterprise,SKU-A,4,25,1200,30000,16500.0,13500.0
C-003,Customer 3,Enterprise,SKU-F,4,50,600,30000,21000.0,9000.0
C-003,Customer 3,Enterprise,SKU-A,5,25,1200,30000,16500.0,13500.0
C-003,Customer 3,Enterprise,SKU-F,5,50,600,30000,21000.0,9000.0
C-003,Customer 3,Enterprise,SKU-A,6,27,1200,32400,17820.0,14580.0
C-003,Customer 3,Enterprise,SKU-F,6,48,600,28800,20160.0,8640.0
C-003,Customer 3,Enterprise,SKU-A,7,24,1200,28800,15840.0,12960.0
C-003,Customer 3,Enterprise,SKU-F,7,51,600,30600,21420.0,9180.0
C-003,Customer 3,Enterprise,SKU-A,8,25,1200,30000,16500.0,13500.0
C-003,Customer 3,Enterprise,SKU-F,8,51,600,30600,21420.0,9180.0
C-003,Customer 3,Enterprise,SKU-A,9,26,1200,31200,17160.0,14040.0
C-003,Customer 3,Enterprise,SKU-F,9,48,600,28800,20160.0,8640.0
