week,week_date,channel,cost_category,amount
1,2024-07-01,Direct Sales,hosting,7662.62
1,2024-07-01,Direct Sales,tooling,12052.03
1,2024-07-01,Direct Sales,support_platform,5129.95
1,2024-07-01,Partner,hosting,5941.02
1,2024-07-01,Partner,tooling,8077.3
1,2024-07-01,Partner,partner_portal,9766.71
1,2024-07-01,Inside Sales,hosting,15043.31
1,2024-07-01,Inside Sales,tooling,18014.38
1,2024-07-01,Inside Sales,support_platform,8400.19
1,2024-07-01,Self-Serve,hosting,35311.61
1,2024-07-01,Self-Serve,tooling,10115.96
1,2024-07-01,Self-Serve,support_platform,2886.16
1,2024-07-01,Strategic,hosting,4939.1
1,2024-07-01,Strategic,tooling,6102.8
1,2024-07-01,Strategic,dedicated_infra,19282.44
2,2024-07-08,Direct Sales,hosting,7892.5
2,2024-07-08,Direct Sales,tooling,11692.73
2,2024-07-08,Direct Sales,support_platform,4835.29
2,2024-07-08,Partner,hosting,5841.43
2,2024-07-08,Partner,tooling,7720.76
2,2024-07-08,Partner,partner_portal,10194.35
2,2024-07-08,Inside Sales,hosting,14706.24
2,2024-07-08,Inside Sales,tooling,17961.7
2,2024-07-08,Inside Sales,support_platform,7902.76
2,2024-07-08,Self-Serve,hosting,34251.61
2,2024-07-08,Self-Serve,tooling,9617.25
2,2024-07-08,Self-Serve,support_platform,3012.47
2,2024-07-08,Strategic,hosting,5208.19
2,2024-07-08,Strategic,tooling,5828.0
2,2024-07-08,Strategic,dedicated_infra,19319.12
3,2024-07-15,Direct Sales,hosting,8147.56
3,2024-07-15,Direct Sales,tooling,12278.41
3,2024-07-15,Direct Sales,support_platform,4908.96
3,2024-07-15,Partner,hosting,5783.85
3,2024-07-15,Partner,tooling,7917.64
3,2024-07-15,Partner,partner_portal,10349.28
3,2024-07-15,Inside Sales,hosting,14419.88
3,2024-07-15,Inside Sales,tooling,17283.58
3,2024-07-15,Inside Sales,support_platform,8375.18
3,2024-07-15,Self-Serve,hosting,36153.65
3,2024-07-15,Self-Serve,tooling,9935.29
3,2024-07-15,Self-Serve,support_platform,3072.02
3,2024-07-15,Strategic,hosting,4971.53
3,2024-07-15,Strategic,tooling,6163.79
3,2024-07-15,Strategic,dedicated_infra,19309.94
4,2024-07-22,Direct Sales,hosting,7713.33
4,2024-07-22,Direct Sales,tooling,11786.68
4,2024-07-22,Direct Sales,support_platform,5072.77
4,2024-07-22,Partner,hosting,6100.13
4,2024-07-22,Partner,tooling,7735.65
4,2024-07-22,Partner,partner_portal,10287.4
4,2024-07-22,Inside Sales,hosting,14961.76
4,2024-07-22,Inside Sales,tooling,17777.81
4,2024-07-22,Inside Sales,support_platform,8341.62
4,2024-07-22,Self-Serve,hosting,35157.53
4,2024-07-22,Self-Serve,tooling,9970.82
4,2024-07-22,Self-Serve,support_platform,2977.63
4,2024-07-22,Strategic,hosting,5059.96
4,2024-07-22,Strategic,tooling,6270.93
4,2024-07-22,Strategic,dedicated_infra,20106.31
5,2024-07-29,Direct Sales,hosting,8281.99
5,2024-07-29,Direct Sales,tooling,11629.42
5,2024-07-29,Direct Sales,support_platform,5213.77
5,2024-07-29,Partner,hosting,6262.61
5,2024-07-29,Partner,tooling,7999.26
5,2024-07-29,Partner,partner_portal,10138.9
5,2024-07-29,Inside Sales,hosting,15512.71
5,2024-07-29,Inside Sales,tooling,17672.63
5,2024-07-29,Inside Sales,support_platform,7774.87
5,2024-07-29,Self-Serve,hosting,36367.33
5,2024-07-29,Self-Serve,tooling,9683.2
5,2024-07-29,Self-Serve,support_platform,3097.31
5,2024-07-29,Strategic,hosting,5165.04
5,2024-07-29,Strategic,tooling,6299.3
5,2024-07-29,Strategic,dedicated_infra,20918.68
6,2024-08-05,Direct Sales,hosting,8296.62
6,2024-08-05,Direct Sales,tooling,12776.83
6,2024-08-05,Direct Sales,support_platform,4939.85
6,2024-08-05,Partner,hosting,6339.47
6,2024-08-05,Partner,tooling,8485.76
6,2024-08-05,Partner,partner_portal,10382.01
6,2024-08-05,Inside Sales,hosting,15645.07
6,2024-08-05,Inside Sales,tooling,17930.21
6,2024-08-05,Inside Sales,support_platform,8518.32
6,2024-08-05,Self-Serve,hosting,36620.3
6,2024-08-05,Self-Serve,tooling,9783.87
6,2024-08-05,Self-Serve,support_platform,3040.92
6,2024-08-05,Strategic,hosting,5310.64
6,2024-08-05,Strategic,tooling,6133.16
6,2024-08-05,Strategic,dedicated_infra,19667.21
7,2024-08-12,Direct Sales,hosting,7803.22
7,2024-08-12,Direct Sales,tooling,12293.44
7,2024-08-12,Direct Sales,support_platform,4957.21
7,2024-08-12,Partner,hosting,5891.33
7,2024-08-12,Partner,tooling,8572.93
7,2024-08-12,Partner,partner_portal,10004.07
7,2024-08-12,Inside Sales,hosting,14553.11
7,2024-08-12,Inside Sales,tooling,18453.7
7,2024-08-12,Inside Sales,support_platform,7864.66
7,2024-08-12,Self-Serve,hosting,35481.31
7,2024-08-12,Self-Serve,tooling,10713.2
7,2024-08-12,Self-Serve,support_platform,3124.26
7,2024-08-12,Strategic,hosting,4856.98
7,2024-08-12,Strategic,tooling,6035.04
7,2024-08-12,Strategic,dedicated_infra,20226.91
8,2024-08-19,Direct Sales,hosting,8329.73
8,2024-08-19,Direct Sales,tooling,12225.15
8,2024-08-19,Direct Sales,support_platform,4867.03
8,2024-08-19,Partner,hosting,6259.15
8,2024-08-19,Partner,tooling,7888.54
8,2024-08-19,Partner,partner_portal,9937.41
8,2024-08-19,Inside Sales,hosting,14926.16
8,2024-08-19,Inside Sales,tooling,19164.32
8,2024-08-19,Inside Sales,support_platform,8580.67
8,2024-08-19,Self-Serve,hosting,36569.36
8,2024-08-19,Self-Serve,tooling,10090.86
8,2024-08-19,Self-Serve,support_platform,3218.57
8,2024-08-19,Strategic,hosting,5212.73
8,2024-08-19,Strategic,tooling,6391.55
8,2024-08-19,Strategic,dedicated_infra,19874.63
9,2024-08-26,Direct Sales,hosting,7927.6
9,2024-08-26,Direct Sales,tooling,12679.17
9,2024-08-26,Direct Sales,support_platform,4935.23
9,2024-08-26,Partner,hosting,6030.96
9,2024-08-26,Partner,tooling,7884.86
9,2024-08-26,Partner,partner_portal,10299.69
