customer_id,product,channel,segment,seats_initial,renewal_month,discount_pct,acquisition_week,acquisition_date,rep_id,status
CUST-0001,Product 6,Direct Sales,Mid-Market,47,3,0.14,-37,pre-period,REP-001,active
CUST-0002,Product 8,Direct Sales,Enterprise,88,4,0.1433,-130,pre-period,REP-003,active
CUST-0003,Product 5,Direct Sales,Enterprise,165,11,0.1698,-89,pre-period,REP-001,active
CUST-0004,Product 5,Direct Sales,Enterprise,72,4,0.1653,-143,pre-period,REP-003,active
CUST-0005,Product 8,Direct Sales,Enterprise,150,1,0.0888,-108,pre-period,REP-006,active
CUST-0006,Product 5,Direct Sales,Enterprise,66,3,0.1313,-34,pre-period,REP-006,active
CUST-0007,Product 8,Direct Sales,Enterprise,118,12,0.1565,-38,pre-period,REP-006,active
CUST-0008,Product 7,Direct Sales,Mid-Market,21,2,0.1127,-12,pre-period,REP-004,churned
CUST-0009,Product 1,Direct Sales,Enterprise,67,11,0.178,-65,pre-period,REP-003,active
CUST-0010,Product 4,Direct Sales,Enterprise,114,8,0.1237,-114,pre-period,REP-003,active
CUST-0011,Product 5,Direct Sales,Enterprise,110,12,0.1637,-113,pre-period,REP-004,active
CUST-0012,Product 4,Direct Sales,Enterprise,100,1,0.1678,-21,pre-period,REP-005,active
CUST-0013,Product 2,Direct Sales,Enterprise,119,1,0.146,-77,pre-period,REP-004,active
CUST-0014,Product 5,Direct Sales,Enterprise,155,7,0.1348,-18,pre-period,REP-003,active
CUST-0015,Product 8,Direct Sales,Enterprise,169,8,0.18,-137,pre-period,REP-005,active
CUST-0016,Product 6,Direct Sales,Enterprise,111,3,0.1384,-18,pre-period,REP-005,active
CUST-0017,Product 7,Direct Sales,Mid-Market,30,2,0.1251,-66,pre-period,REP-003,active
CUST-0018,Product 1,Direct Sales,Enterprise,143,7,0.1439,-143,pre-period,REP-001,active
CUST-0019,Product 1,Direct Sales,Enterprise,128,8,0.1334,-86,pre-period,REP-003,active
CUST-0020,Product 3,Direct Sales,Mid-Market,36,5,0.1357,-103,pre-period,REP-003,active
CUST-0021,Product 2,Direct Sales,Mid-Market,42,5,0.1942,-131,pre-period,REP-003,active
CUST-0022,Product 3,Direct Sales,Mid-Market,30,9,0.1421,-46,pre-period,REP-006,churned
CUST-0023,Product 6,Direct Sales,Enterprise,115,5,0.1375,-84,pre-period,REP-005,active
CUST-0024,Product 8,Direct Sales,Enterprise,103,1,0.1281,-46,pre-period,REP-001,active
CUST-0025,Product 1,Direct Sales,Mid-Market,27,2,0.1512,-145,pre-period,REP-004,active
CUST-0026,Product 4,Direct Sales,Enterprise,116,5,0.2046,-80,pre-period,REP-006,active
CUST-0027,Product 1,Direct Sales,Enterprise,177,11,0.1911,-54,pre-period,REP-003,active
CUST-0028,Product 7,Direct Sales,Mid-Market,35,2,0.2114,-97,pre-period,REP-004,active
CUST-0029,Product 4,Direct Sales,Mid-Market,20,5,0.1213,-141,pre-period,REP-003,active
CUST-0030,Product 8,Direct Sales,Enterprise,144,12,0.1279,-71,pre-period,REP-003,active
CUST-0031,Product 2,Direct Sales,Mid-Market,47,7,0.1423,-82,pre-period,REP-003,active
CUST-0032,Product 2,Direct Sales,Mid-Market,43,9,0.1176,-59,pre-period,REP-004,active
CUST-0033,Product 3,Direct Sales,Mid-Market,45,9,0.0792,-141,pre-period,REP-001,active
CUST-0034,Product 2,Direct Sales,Enterprise,115,10,0.0684,-24,pre-period,REP-005,active
CUST-0035,Product 2,Direct Sales,Mid-Market,23,2,0.1341,-146,pre-period,REP-003,active
CUST-0036,Product 2,Direct Sales,Mid-Market,32,9,0.1493,-26,pre-period,REP-006,active
CUST-0037,Product 5,Direct Sales,Mid-Market,41,12,0.1511,-76,pre-period,REP-004,active
CUST-0038,Product 4,Direct Sales,Enterprise,101,3,0.1645,-92,pre-period,REP-004,active
CUST-0039,Product 2,Direct Sales,Mid-Market,52,9,0.1668,-79,pre-period,REP-005,active
CUST-0040,Product 5,Direct Sales,Enterprise,61,6,0.1692,-99,pre-period,REP-001,active
CUST-0041,Product 8,Direct Sales,Enterprise,60,11,0.1051,-125,pre-period,REP-005,active
CUST-0042,Product 4,Direct Sales,Mid-Market,58,8,0.2045,-23,pre-period,REP-003,active
CUST-0043,Product 7,Direct Sales,SMB,16,11,0.1382,-41,pre-period,REP-004,active
CUST-0044,Product 7,Direct Sales,Enterprise,166,8,0.1939,-116,pre-period,REP-004,active
CUST-0045,Product 6,Direct Sales,Enterprise,136,2,0.209,-53,pre-period,REP-005,active
CUST-0046,Product 7,Direct Sales,Enterprise,72,3,0.1306,-82,pre-period,REP-006,active
CUST-0047,Product 6,Direct Sales,Enterprise,159,1,0.1499,-33,pre-period,REP-004,active
CUST-0048,Product 1,Direct Sales,Enterprise,61,10,0.1444,-74,pre-period,REP-005,active
CUST-0049,Product 6,Direct Sales,Mid-Market,25,6,0.1498,-105,pre-period,REP-003,active
CUST-0050,Product 3,Direct Sales,Enterprise,74,2,0.1563,-32,pre-period,REP-001,active
CUST-0051,Product 8,Direct Sales,Enterprise,116,12,0.1609,-32,pre-period,REP-005,active
