week,week_date,customer_id,product,channel,segment,rep_id,seats,unit_price_monthly,list_price_monthly,discount_pct,revenue
1,2024-07-01,CUST-0001,Product 6,Direct Sales,Mid-Market,REP-001,47,81.7,95,0.14,909.61
1,2024-07-01,CUST-0002,Product 8,Direct Sales,Enterprise,REP-003,88,51.4,60,0.1433,1092.43
1,2024-07-01,CUST-0003,Product 5,Direct Sales,Enterprise,REP-001,165,124.53,150,0.1698,4788.92
1,2024-07-01,CUST-0004,Product 5,Direct Sales,Enterprise,REP-003,72,125.2,150,0.1653,2064.49
1,2024-07-01,CUST-0005,Product 8,Direct Sales,Enterprise,REP-006,150,54.67,60,0.0888,1842.25
1,2024-07-01,CUST-0006,Product 5,Direct Sales,Enterprise,REP-006,66,130.31,150,0.1313,1980.48
1,2024-07-01,CUST-0007,Product 8,Direct Sales,Enterprise,REP-006,118,50.61,60,0.1565,1298.88
1,2024-07-01,CUST-0008,Product 7,Direct Sales,Mid-Market,REP-004,21,159.71,180,0.1127,754.48
1,2024-07-01,CUST-0009,Product 1,Direct Sales,Enterprise,REP-003,67,98.64,120,0.178,1537.82
1,2024-07-01,CUST-0010,Product 4,Direct Sales,Enterprise,REP-003,114,39.43,45,0.1237,976.04
1,2024-07-01,CUST-0011,Product 5,Direct Sales,Enterprise,REP-004,110,125.45,150,0.1637,3284.66
1,2024-07-01,CUST-0012,Product 4,Direct Sales,Enterprise,REP-005,100,37.45,45,0.1678,979.22
1,2024-07-01,CUST-0013,Product 2,Direct Sales,Enterprise,REP-004,119,72.59,85,0.146,1978.47
1,2024-07-01,CUST-0014,Product 5,Direct Sales,Enterprise,REP-003,155,129.78,150,0.1348,4912.85
1,2024-07-01,CUST-0015,Product 8,Direct Sales,Enterprise,REP-005,169,49.2,60,0.18,1983.02
1,2024-07-01,CUST-0016,Product 6,Direct Sales,Enterprise,REP-005,111,81.85,95,0.1384,2161.17
1,2024-07-01,CUST-0017,Product 7,Direct Sales,Mid-Market,REP-003,30,157.48,180,0.1251,1058.01
1,2024-07-01,CUST-0018,Product 1,Direct Sales,Enterprise,REP-001,143,102.73,120,0.1439,3406.62
1,2024-07-01,CUST-0019,Product 1,Direct Sales,Enterprise,REP-003,129,103.99,120,0.1334,3115.05
1,2024-07-01,CUST-0020,Product 3,Direct Sales,Mid-Market,REP-003,36,172.86,200,0.1357,1473.64
1,2024-07-01,CUST-0021,Product 2,Direct Sales,Mid-Market,REP-003,42,68.49,85,0.1942,662.0
1,2024-07-01,CUST-0022,Product 3,Direct Sales,Mid-Market,REP-006,30,171.58,200,0.1421,1233.38
1,2024-07-01,CUST-0023,Product 6,Direct Sales,Enterprise,REP-005,115,81.94,95,0.1375,2143.56
1,2024-07-01,CUST-0024,Product 8,Direct Sales,Enterprise,REP-001,103,52.31,60,0.1281,1230.51
1,2024-07-01,CUST-0025,Product 1,Direct Sales,Mid-Market,REP-004,27,101.86,120,0.1512,639.41
1,2024-07-01,CUST-0026,Product 4,Direct Sales,Enterprise,REP-006,116,35.79,45,0.2046,920.67
1,2024-07-01,CUST-0027,Product 1,Direct Sales,Enterprise,REP-003,177,97.07,120,0.1911,3809.69
1,2024-07-01,CUST-0028,Product 7,Direct Sales,Mid-Market,REP-004,35,141.95,180,0.2114,1232.54
1,2024-07-01,CUST-0029,Product 4,Direct Sales,Mid-Market,REP-003,20,39.54,45,0.1213,187.02
1,2024-07-01,CUST-0030,Product 8,Direct Sales,Enterprise,REP-003,144,52.33,60,0.1279,1815.72
1,2024-07-01,CUST-0031,Product 2,Direct Sales,Mid-Market,REP-003,47,72.9,85,0.1423,805.01
1,2024-07-01,CUST-0032,Product 2,Direct Sales,Mid-Market,REP-004,43,75.0,85,0.1176,758.14
1,2024-07-01,CUST-0033,Product 3,Direct Sales,Mid-Market,REP-001,45,184.16,200,0.0792,1899.54
1,2024-07-01,CUST-0034,Product 2,Direct Sales,Enterprise,REP-005,115,79.19,85,0.0684,2169.32
1,2024-07-01,CUST-0035,Product 2,Direct Sales,Mid-Market,REP-003,23,73.6,85,0.1341,370.87
1,2024-07-01,CUST-0036,Product 2,Direct Sales,Mid-Market,REP-006,32,72.31,85,0.1493,535.86
1,2024-07-01,CUST-0037,Product 5,Direct Sales,Mid-Market,REP-004,41,127.33,150,0.1511,1196.84
1,2024-07-01,CUST-0038,Product 4,Direct Sales,Enterprise,REP-004,101,37.6,45,0.1645,816.45
1,2024-07-01,CUST-0039,Product 2,Direct Sales,Mid-Market,REP-005,52,70.82,85,0.1668,838.46
1,2024-07-01,CUST-0040,Product 5,Direct Sales,Enterprise,REP-001,61,124.62,150,0.1692,1740.46
1,2024-07-01,CUST-0041,Product 8,Direct Sales,Enterprise,REP-005,60,53.69,60,0.1051,760.55
1,2024-07-01,CUST-0042,Product 4,Direct Sales,Mid-Market,REP-003,58,35.8,45,0.2045,491.04
1,2024-07-01,CUST-0043,Product 7,Direct Sales,SMB,REP-004,16,155.12,180,0.1382,575.48
1,2024-07-01,CUST-0044,Product 7,Direct Sales,Enterprise,REP-004,166,145.1,180,0.1939,5483.82
1,2024-07-01,CUST-0045,Product 6,Direct Sales,Enterprise,REP-005,136,75.15,95,0.209,2236.69
1,2024-07-01,CUST-0046,Product 7,Direct Sales,Enterprise,REP-006,72,156.49,180,0.1306,2569.59
1,2024-07-01,CUST-0047,Product 6,Direct Sales,Enterprise,REP-004,159,80.76,95,0.1499,3074.47
1,2024-07-01,CUST-0048,Product 1,Direct Sales,Enterprise,REP-005,61,102.67,120,0.1444,1386.78
1,2024-07-01,CUST-0049,Product 6,Direct Sales,Mid-Market,REP-003,25,80.77,95,0.1498,490.92
1,2024-07-01,CUST-0050,Product 3,Direct Sales,Enterprise,REP-001,74,168.74,200,0.1563,2861.91
1,2024-07-01,CUST-0051,Product 8,Direct Sales,Enterprise,REP-005,116,50.35,60,0.1609,1279.99
1,2024-07-01,CUST-0052,Product 4,Direct Sales,Enterprise,REP-004,91,39.64,45,0.1191,833.46
1,2024-07-01,CUST-0053,Product 1,Direct Sales,Enterprise,REP-003,175,99.43,120,0.1714,3949.29
1,2024-07-01,CUST-0054,Product 4,Direct Sales,Enterprise,REP-006,128,37.04,45,0.1769,1111.4
1,2024-07-01,CUST-0055,Product 3,Direct Sales,Mid-Market,REP-003,34,177.9,200,0.1105,1457.59
1,2024-07-01,CUST-0056,Product 5,Direct Sales,Enterprise,REP-005,146,123.65,150,0.1757,4082.87
1,2024-07-01,CUST-0057,Product 8,Direct Sales,Enterprise,REP-006,133,48.35,60,0.1941,1405.88
1,2024-07-01,CUST-0058,Product 4,Direct Sales,Enterprise,REP-004,149,37.99,45,0.1557,1294.56
1,2024-07-01,CUST-0059,Product 2,Direct Sales,Mid-Market,REP-004,43,67.98,85,0.2002,689.49
1,2024-07-01,CUST-0060,Product 5,Direct Sales,Mid-Market,REP-005,33,128.55,150,0.143,937.48
1,2024-07-01,CUST-0061,Product 5,Direct Sales,Enterprise,REP-005,121,123.53,150,0.1765,3452.09
1,2024-07-01,CUST-0062,Product 6,Direct Sales,Enterprise,REP-005,69,76.24,95,0.1975,1196.78
1,2024-07-01,CUST-0063,Product 8,Direct Sales,Mid-Market,REP-006,26,51.05,60,0.1492,327.35
1,2024-07-01,CUST-0064,Product 3,Direct Sales,Mid-Market,REP-005,39,159.0,200,0.205,1410.1
1,2024-07-01,CUST-0065,Product 4,Direct Sales,Mid-Market,REP-001,21,37.8,45,0.16,177.44
1,2024-07-01,CUST-0066,Product 8,Direct Sales,Mid-Market,REP-001,27,52.4,60,0.1266,326.58
1,2024-07-01,CUST-0067,Product 8,Direct Sales,Mid-Market,REP-004,44,50.57,60,0.1571,515.68
1,2024-07-01,CUST-0068,Product 1,Direct Sales,Mid-Market,REP-005,49,93.94,120,0.2172,1102.14
1,2024-07-01,CUST-0069,Product 8,Direct Sales,Enterprise,REP-003,94,50.24,60,0.1627,1068.75
1,2024-07-01,CUST-0070,Product 2,Direct Sales,Enterprise,REP-001,102,73.61,85,0.134,1842.78
1,2024-07-01,CUST-0071,Product 2,Direct Sales,Mid-Market,REP-003,31,73.51,85,0.1352,522.38
1,2024-07-01,CUST-0072,Product 8,Direct Sales,Enterprise,REP-006,137,48.73,60,0.1878,1509.14
1,2024-07-01,CUST-0073,Product 5,Direct Sales,Enterprise,REP-005,87,127.31,150,0.1513,2618.29
1,2024-07-01,CUST-0074,Product 4,Direct Sales,Enterprise,REP-005,155,38.87,45,0.1362,1300.9
1,2024-07-01,CUST-0075,Product 1,Direct Sales,Enterprise,REP-003,158,107.65,120,0.1029,3952.98
1,2024-07-01,CUST-0076,Product 8,Direct Sales,Enterprise,REP-004,87,52.41,60,0.1265,979.91
1,2024-07-01,CUST-0077,Product 1,Direct Sales,Mid-Market,REP-001,55,98.05,120,0.1829,1245.65
