txn_id,date,product_id,channel_id,qty,unit_price,currency,discount_pct,return_flag,region
TXN-028763,07/27/2024,PRD-0307,CH-042,7,391.61,JPY,0,N,Asia Pacific
TXN-002413,2024-02-05,PRD-0217,CH-027,20,304.89,US Dollar,0.05,N,North America
TXN-025386,2024-04-08,PRD-0303,CH-026,22,18.57,usd,15,N,North America
TXN-000915,2024-10-19,PRD-0482,CH-030,24,478.88,JPY,0,no,Asia Pacific
TXN-021875,2024-02-19,PRD-0483,CH-036,44,109.88,EUR,10,no,Europe
TXN-008481,11/20/2024,PRD-0085,CH-006,8,210.21,JPY,0,Y,Asia Pacific
TXN-010780,08/18/2024,PRD-0407,CH-033,17,415.68,EUR,0,1,Europe
TXN-007905,2024-06-20,PRD-0416,CH-027,26,50.53,EUR,0.25,N,Europe
TXN-008857,02/10/2024,PRD-0428,CH-035,27,59.26,EUR,20,,Europe
TXN-002947,2024-01-23,PRD-0345,CH-033,24,474.54,BRL,15,no,Latin America
TXN-011280,2024-08-22,PRD-0131,CH-029,42,34.85,USD,20,0,North America
TXN-024124,2024-06-21,PRD-0473,CH-037,28,428.88,USD,0.15,no,North America
TXN-006751,2024-12-15,PRD-0112,CH-019,9,495.21,EUR,0,N,Europe
TXN-011396,2024-11-13,PRD-0424,CH-019,5,279.16,BRL,0.25,N,Latin America
TXN-028468,2024-07-02,PRD-0092,CH-016,43,214.39,JPY,0,,Asia Pacific
TXN-004323,02/22/2024,PRD-0182,CH-020,8,129.19,JPY,20,FALSE,Asia Pacific
TXN-004466,2024-08-08,PRD-0425,CH-006,4,494.91,USD,0.15,no,North America
TXN-016601,2024-11-26,PRD-0458,CH-015,24,17.44,EUR,0.25,Y,Europe
TXN-005206,08/05/2024,PRD-0447,CH-018,42,122.78,EUR,0.25,FALSE,Europe
TXN-019038,2024-09-17,PRD-0159,CH-019,24,251.62,USD,10,no,North America
TXN-019835,2024-12-15,PRD-0206,CH-010,17,474.48,JPY,0,0,Asia Pacific
TXN-008436,2024-10-24,PRD-0307,CH-029,27,245.42,USD,0.05,no,North America
TXN-010697,2024-08-12,PRD-0047,CH-043,10,459.64,EUR,0.1,FALSE,Europe
TXN-016749,2024-06-18,PRD-0403,CH-045,18,404.34,JPY,0.3,N,Asia Pacific
TXN-022670,2024-06-14,PRD-0345,CH-009,24,55.43,EUR,0.15,no,Europe
TXN-011940,10/05/2024,PRD-0174,CH-033,44,409.92,BRL,0,N,Latin America
TXN-004594,2024-08-15,PRD-0383,CH-035,18,464.85,JPY,10,TRUE,Asia Pacific
TXN-008213,2024-07-03,PRD-0487,CH-002,3,121.68,JPY,0.05,N,Asia Pacific
TXN-010450,2024-05-01,PRD-0038,CH-042,44,86.25,EUR,0,FALSE,Europe
TXN-028954,12/23/2024,PRD-0048,CH-029,48,131.69,EUR,20,no,Europe
TXN-027829,2024-01-21,PRD-0194,CH-014,10,68.26,JPY,0.2,0,Asia Pacific
TXN-018035,03/14/2024,PRD-0019,CH-038,38,169.46,EUR,30,N,Europe
TXN-028851,2024-01-13,PRD-0278,CH-018,41,85.95,JPY,10,no,Asia Pacific
TXN-027403,2024-03-27,PRD-0249,CH-014,36,330.75,US Dollar,0.3,TRUE,North America
