channel_id,channel_name,channel_type,parent_channel,commission_rate
CH-001,Online Channel 1,Online,,0.1241
CH-002,Online Channel 2,Online,,0.1083
CH-003,Online Channel 3,Online,,0.1439
CH-004,Online Channel 4,Online,CH-001,0.0386
CH-005,Online Channel 5,Online,CH-002,0.099
CH-006,Online Channel 6,Online,CH-003,0.1216
CH-007,Online Channel 7,Online,CH-004,0.0245
CH-008,Online Channel 8,Online,CH-005,0.0287
CH-009,Online Channel 9,Online,CH-006,0.1212
CH-010,Online Channel 10,Online,CH-007,0.0676
CH-011,Online Channel 11,Online,CH-008,0.0698
CH-012,Online Channel 12,Online,CH-009,0.0937
CH-013,Retail Channel 1,Retail,,0.0987
CH-014,Retail Channel 2,Retail,,0.1083
CH-015,Retail Channel 3,Retail,,0.1433
CH-016,Retail Channel 4,Retail,CH-013,0.0684
CH-017,Retail Channel 5,Retail,CH-014,0.1192
CH-018,Retail Channel 6,Retail,CH-015,0.0946
CH-019,Retail Channel 7,Retail,CH-016,0.0888
CH-020,Retail Channel 8,Retail,CH-017,0.0717
CH-021,Retail Channel 9,Retail,CH-018,0.1044
CH-022,Retail Channel 10,Retail,CH-019,0.0524
CH-023,Retail Channel 11,Retail,CH-020,0.0347
CH-024,Retail Channel 12,Retail,CH-021,0.1156
CH-025,Wholesale Channel 1,Wholesale,,0.0849
CH-026,Wholesale Channel 2,Wholesale,,0.0703
CH-027,Wholesale Channel 3,Wholesale,,0.093
CH-028,Wholesale Channel 4,Wholesale,CH-025,0.054
CH-029,Wholesale Channel 5,Wholesale,CH-026,0.0538
CH-030,Wholesale Channel 6,Wholesale,CH-027,0.078
CH-031,Wholesale Channel 7,Wholesale,CH-028,0.1495
CH-032,Wholesale Channel 8,Wholesale,CH-029,0.0571
CH-033,Wholesale Channel 9,Wholesale,CH-030,0.1391
CH-034,Wholesale Channel 10,Wholesale,CH-031,0.0839
CH-035,Wholesale Channel 11,Wholesale,CH-032,0.0359
CH-036,Wholesale Channel 12,Wholesale,CH-033,0.1309
CH-037,Marketplace Channel 1,Marketplace,,0.0788
CH-038,Marketplace Channel 2,Marketplace,,0.1368
CH-039,Marketplace Channel 3,Marketplace,,0.0779
CH-040,Marketplace Channel 4,Marketplace,CH-037,0.0314
CH-041,Marketplace Channel 5,Marketplace,CH-038,0.1087
CH-042,Marketplace Channel 6,Marketplace,CH-039,0.1299
CH-043,Marketplace Channel 7,Marketplace,CH-040,0.0615
CH-044,Marketplace Channel 8,Marketplace,CH-041,0.0652
CH-045,Marketplace Channel 9,Marketplace,CH-042,0.0284
CH-046,Marketplace Channel 10,Marketplace,CH-043,0.0905
CH-047,Marketplace Channel 11,Marketplace,CH-044,0.1359
CH-048,Marketplace Channel 12,Marketplace,CH-045,0.1307
CH-049,Retail Extra 49,Retail,,0.1232
CH-050,Retail Extra 50,Retail,,0.0358
