date,from_currency,to_currency,rate
2024-01-01,EUR,USD,1.080895
2024-01-01,JPY,USD,0.006717
2024-01-01,BRL,USD,0.200058
2024-01-01,GBP,USD,1.268581
2024-01-02,EUR,USD,1.075114
2024-01-02,JPY,USD,0.006689
2024-01-02,BRL,USD,0.200419
2024-01-02,GBP,USD,1.26241
2024-01-03,EUR,USD,1.078251
2024-01-03,JPY,USD,0.006691
2024-01-03,BRL,USD,0.198561
2024-01-03,GBP,USD,1.293378
2024-01-04,EUR,USD,1.078718
2024-01-04,JPY,USD,0.00666
2024-01-04,BRL,USD,0.200224
2024-01-04,GBP,USD,1.258262
2024-01-05,EUR,USD,1.092942
2024-01-05,JPY,USD,0.00674
2024-01-05,BRL,USD,0.199315
2024-01-05,GBP,USD,1.264586
2024-01-06,EUR,USD,1.07789
2024-01-06,JPY,USD,0.006672
2024-01-06,BRL,USD,0.201254
2024-01-06,GBP,USD,1.26233
2024-01-07,EUR,USD,1.077815
2024-01-07,JPY,USD,0.006684
2024-01-07,BRL,USD,0.201041
2024-01-07,GBP,USD,1.268578
2024-01-08,EUR,USD,1.081544
2024-01-08,JPY,USD,0.006694
2024-01-08,BRL,USD,0.20041
2024-01-08,GBP,USD,1.272574
2024-01-09,EUR,USD,1.082435
2024-01-09,JPY,USD,0.006725
2024-01-09,BRL,USD,0.199767
2024-01-09,GBP,USD,1.264338
2024-01-10,EUR,USD,1.090682
2024-01-10,JPY,USD,0.006674
2024-01-10,BRL,USD,0.200431
2024-01-10,GBP,USD,1.266027
2024-01-11,EUR,USD,1.075484
2024-01-11,JPY,USD,0.006668
2024-01-11,BRL,USD,0.2006
2024-01-11,GBP,USD,1.273818
2024-01-12,EUR,USD,1.073759
2024-01-12,JPY,USD,0.006692
2024-01-12,BRL,USD,0.201166
2024-01-12,GBP,USD,1.2832
2024-01-13,EUR,USD,1.084484
2024-01-13,JPY,USD,0.00674
2024-01-13,BRL,USD,0.19975
2024-01-13,GBP,USD,1.26149
2024-01-14,EUR,USD,1.083819
2024-01-14,JPY,USD,0.006664
2024-01-14,BRL,USD,0.200109
2024-01-14,GBP,USD,1.268644
2024-01-15,EUR,USD,1.087421
2024-01-15,JPY,USD,0.006714
2024-01-15,BRL,USD,0.198714
2024-01-15,GBP,USD,1.265725
2024-01-16,EUR,USD,1.080596
2024-01-16,JPY,USD,0.006665
2024-01-16,BRL,USD,0.199246
2024-01-16,GBP,USD,1.264286
2024-01-17,EUR,USD,1.076885
2024-01-17,JPY,USD,0.00668
2024-01-17,BRL,USD,0.201106
2024-01-17,GBP,USD,1.268038
2024-01-18,EUR,USD,1.082765
2024-01-18,JPY,USD,0.006652
2024-01-18,BRL,USD,0.199886
2024-01-18,GBP,USD,1.272363
2024-01-19,EUR,USD,1.085405
2024-01-19,JPY,USD,0.006713
2024-01-19,BRL,USD,0.199328
2024-01-19,GBP,USD,1.270424
2024-01-20,EUR,USD,1.076336
2024-01-20,JPY,USD,0.006682
2024-01-20,BRL,USD,0.199679
2024-01-20,GBP,USD,1.259866
2024-01-21,EUR,USD,1.089424
2024-01-21,JPY,USD,0.00663
2024-01-21,BRL,USD,0.200655
2024-01-21,GBP,USD,1.274474
2024-01-22,EUR,USD,1.075616
2024-01-22,JPY,USD,0.006689
2024-01-22,BRL,USD,0.199228
2024-01-22,GBP,USD,1.271048
2024-01-23,EUR,USD,1.080032
2024-01-23,JPY,USD,0.006715
2024-01-23,BRL,USD,0.199754
2024-01-23,GBP,USD,1.276054
2024-01-24,EUR,USD,1.076946
2024-01-24,JPY,USD,0.006683
2024-01-24,BRL,USD,0.200391
2024-01-24,GBP,USD,1.267195
2024-01-25,EUR,USD,1.076685
2024-01-25,JPY,USD,0.006739
2024-01-25,BRL,USD,0.199348
2024-01-25,GBP,USD,1.279951
2024-01-26,EUR,USD,1.073507
2024-01-26,JPY,USD,0.0067
2024-01-26,BRL,USD,0.199141
2024-01-26,GBP,USD,1.270043
2024-01-27,EUR,USD,1.092878
2024-01-27,JPY,USD,0.006712
2024-01-27,BRL,USD,0.197393
2024-01-27,GBP,USD,1.269434
2024-01-28,EUR,USD,1.081095
2024-01-28,JPY,USD,0.006731
2024-01-28,BRL,USD,0.20111
2024-01-28,GBP,USD,1.272317
2024-01-29,EUR,USD,1.085816
2024-01-29,JPY,USD,0.006667
2024-01-29,BRL,USD,0.198781
2024-01-29,GBP,USD,1.271447
2024-01-30,EUR,USD,1.083287
2024-01-30,JPY,USD,0.006671
2024-01-30,BRL,USD,0.201192
2024-01-30,GBP,USD,1.263106
2024-01-31,EUR,USD,1.080448
2024-01-31,JPY,USD,0.006668
2024-01-31,BRL,USD,0.198946
2024-01-31,GBP,USD,1.274827
2024-02-01,EUR,USD,1.082336
